Region,Date,Cumulative  Test positive,Expired,Discharged
GB,5/8/2020,421,3,298
ICT,5/8/2020,609,4,72
KP,5/8/2020,4327,221,1033
Punjab,5/8/2020,10471,191,4131
Sindh,5/8/2020,9691,175,1940
AJK,5/9/2020,86,0,60
Balochistan,5/9/2020,1935,24,242
GB,5/9/2020,430,4,303
ICT,5/9/2020,641,5,72
KP,5/9/2020,4509,234,1086
Punjab,5/9/2020,11093,192,4240
Sindh,5/9/2020,10771,180,2020
AJK,5/10/2020,86,0,64
Balochistan,5/10/2020,2017,26,242
GB,5/10/2020,442,4,304
ICT,5/10/2020,679,6,72
KP,5/10/2020,4669,245,1126
Punjab,5/10/2020,11568,197,4323
Sindh,5/10/2020,11480,189,2081
AJK,5/11/2020,86,1,64
Balochistan,5/11/2020,2061,27,242
GB,5/11/2020,457,4,320
ICT,5/11/2020,716,6,72
KP,5/11/2020,4875,257,1256
Punjab,5/11/2020,11869,211,4452
Sindh,5/11/2020,12017,200,2149
AJK,5/12/2020,88,1,68
Balochistan,5/12/2020,2158,27,256
GB,5/12/2020,475,4,331
ICT,5/12/2020,759,6,92
KP,5/12/2020,5021,267,1305
Punjab,5/12/2020,13225,214,4531
Sindh,5/12/2020,12610,218,2229
AJK,5/13/2020,91,1,69
Balochistan,5/13/2020,2239,27,326
GB,5/13/2020,482,4,337
ICT,5/13/2020,822,6,100
KP,5/13/2020,5252,275,1392
Punjab,5/13/2020,13561,223,4636
Sindh,5/13/2020,13341,234,2835
AJK,5/14/2020,105,1,76
Balochistan,5/14/2020,2310,30,342
GB,5/14/2020,501,4,339
ICT,5/14/2020,866,7,100
KP,5/14/2020,5423,284,1505
Punjab,5/14/2020,13914,234,4720
Sindh,5/14/2020,14099,243,3073
AJK,5/15/2020,108,1,76
Balochistan,5/15/2020,2457,31,383
GB,5/15/2020,518,4,345
ICT,5/15/2020,921,7,100
KP,5/15/2020,5678,291,1613
Punjab,5/15/2020,14201,245,4757
Sindh,5/15/2020,14916,255,3606
AJK,5/16/2020,112,1,77
Balochistan,5/16/2020,2544,36,417
GB,5/16/2020,527,4,348
ICT,5/16/2020,947,7,113
KP,5/16/2020,5847,305,1699
Punjab,5/16/2020,14584,252,4883
Sindh,5/16/2020,15590,268,3804
